ANT1,18.60,13.20,270.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,-7.30,-5.30,270.00,1uF,NORDIC_NRF_3_RESC0402_N
C10,17.30,-8.00,90.00,0.1uF,NORDIC_NRF_3_RESC0201_N
C11,21.90,-7.60,90.00,1uF,NORDIC_NRF_3_RESC0402_N
C12,10.70,15.90,0.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C13,14.80,14.90,270.00,0.1uF,NORDIC_NRF_3_RESC0201_N
C14,-18.30,-12.40,90.00,1uF,NORDIC_NRF_3_RESC0402_N
C15,-6.80,-7.70,180.00,1uF,NORDIC_NRF_3_RESC0402_N
C16,11.80,4.70,270.00,1uF,NORDIC_NRF_3_RESC0402_N
C17,-7.40,-2.60,90.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_N
C18,21.80,-2.70,0.00,10uF,NORDIC_NRF_3_RESC0402_N
C19,-9.50,5.60,270.00,1uF,NORDIC_NRF_3_RESC0402_N
C2,-15.70,-15.70,180.00,10uF,NORDIC_NRF_3_RESC0402_N
C20,-9.50,3.40,90.00,1uF,NORDIC_NRF_3_RESC0402_N
C21,19.80,-2.70,0.00,0.1uF,NORDIC_NRF_3_RESC0201_N
C22,-8.90,-5.80,180.00,1uF,NORDIC_NRF_3_RESC0402_N
C23,-9.00,-2.10,180.00,1uF,NORDIC_NRF_3_RESC0402_N
C24,-8.90,-3.10,0.00,1uF,NORDIC_NRF_3_RESC0402_N
C25,-8.90,-4.00,0.00,1uF,NORDIC_NRF_3_RESC0402_N
C26,-8.90,-5.00,0.00,1uF,NORDIC_NRF_3_RESC0402_N
C27,-8.90,-6.80,0.00,1uF,NORDIC_NRF_3_RESC0402_N
C28,-8.90,-7.80,180.00,1uF,NORDIC_NRF_3_RESC0402_N
C29,21.80,-4.30,0.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C3,21.80,-5.90,0.00,1uF,NORDIC_NRF_3_RESC0402_N
C30,-3.30,9.40,0.00,0.1uF,NORDIC_NRF_3_RESC0201_N
C31,10.10,11.30,0.00,1uF,NORDIC_NRF_3_RESC0402_N
C32,10.10,9.90,0.00,47nF,NORDIC_NRF_3_RESC0201_N
C33,2.80,6.60,0.00,NC,NORDIC_NRF_3_RESC0201_N
C34,15.80,-14.60,0.00,0.1uF,NORDIC_NRF_3_RESC0201_N
C35,2.90,8.70,90.00,12pF,NORDIC_NRF_3_RESC0201_N
C36,6.70,9.00,270.00,12pF,NORDIC_NRF_3_RESC0201_N
C37,11.80,8.70,90.00,100pF,NORDIC_NRF_3_RESC0201_N
C38,8.20,10.00,90.00,NC,NORDIC_NRF_3_RESC0201_N
C39,6.80,16.70,0.00,1pF,NORDIC_NRF_3_RESC0201_N
C4,-15.80,-12.50,0.70,10uF,NORDIC_NRF_3_RESC0402_N
C40,8.80,16.80,180.00,1pF,NORDIC_NRF_3_RESC0201_N
C41,14.00,16.60,0.00,NC,NORDIC_NRF_3_RESC0201_N
C42,11.70,6.30,0.00,820pF/NC,NORDIC_NRF_3_RESC0201_N
C43,18.70,-12.90,0.00,0.1uF,NORDIC_NRF_3_RESC0201_N
C44,17.80,-3.20,90.00,0.1uF,NORDIC_NRF_3_RESC0201_N
C45,10.70,14.50,180.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C46,0.10,-3.70,90.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C47,20.50,-14.20,90.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C48,2.00,10.00,0.00,12pF,NORDIC_NRF_3_RESC0201_N
C49,-1.20,9.30,178.20,12pF,NORDIC_NRF_3_RESC0201_N
C5,-16.40,-14.30,180.00,0.1uF,NORDIC_NRF_3_RESC0201_N
C6,11.40,7.40,0.00,22uF,NORDIC_NRF_3_RESC0402_N
C7,18.70,-14.00,0.00,22uF,NORDIC_NRF_3_RESC0402_N
C8,18.70,-3.20,90.00,0.1uF,NORDIC_NRF_3_RESC0201_N
C9,4.60,-16.20,180.00,0.1uF,NORDIC_NRF_3_RESC0201_N
D1,14.50,12.20,180.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D2,-19.40,-9.20,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,-13.50,-10.20,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D4,-18.50,12.60,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
IC1,-1.90,-9.20,180.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,3.70,-10.50,0.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
IC3,14.20,-7.40,0.00,BMA423,BMA423_BMA423
IC4,18.50,-10.50,272.10,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
